﻿カードID,名前,読み方,レベル,属性,種族,カードタイプ,攻撃力,守備力,カードテキスト
6959,Armament of the Lethal Lords,Armament of the Lethal Lords,8,闇,戦士族,効果,2500,2500,
7374,Chimaera,"Chimaera, the Master of Beasts",9,光,獣族,効果,3000,3000,
8610,Aggiba,"Aggiba, the Malevolent Sh'nn S'yo",10,光,悪魔族,効果,3000,3000,
20700,Dragon of Illumination,"Dragon of Illumination, Sanctuary's Shield",8,光,ドラゴン族,効果,3000,2500,
20701,Elttaes,"Elttaes, the MASTER of DUELS",6,光,サイバース族,効果,2400,2200,
9248,Grizzly,"Grizzly, the Red Star Beast",8,地,獣族,シンクロ／効果,2700,2300,
7375,Emperor of Lightning,Emperor of Lightning,8,光,雷族,効果,2600,2600,
6533,King of Destruction - Xexex,King of Destruction - Xexex,10,闇,悪魔族,効果,3000,2500,
21967,Light Leading the Valiant,Light Leading the Valiant,8,光,天使族,効果,3000,2500,
9850,King Landia the Goldfang,King Landia the Goldfang,8,光,獣戦士族,エクシーズ／効果,3000,2500,
7993,Lorelei,"Lorelei, the Symphonic Arsenal",8,光,機械族,効果,2400,2000,
5929,Meteo the Matchless,Meteo the Matchless,8,闇,獣戦士族,効果,2400,2000,
9851,Queen Nereia the Silvercrown,Queen Nereia the Silvercrown,6,光,植物族,エクシーズ／効果,2500,2400,
6534,Queen of Fate - Eternia,Queen of Fate - Eternia,8,光,天使族,効果,2400,2000,
8611,Skuna,"Skuna, the Leonine Rakan",8,闇,獣戦士族,効果,2600,2000,
6958,Testament of the Arcane Lords,Testament of the Arcane Lords,10,光,魔法使い族,効果,3000,3000,
9247,Stardust Divinity,Stardust Divinity,10,光,天使族,シンクロ／効果,3000,3000,
21968,The Lady's Protectors,The Lady's Protectors,7,光,獣戦士族,効果,2000,2500,
7992,Tyr,"Tyr, the Vanquishing Warlord",10,光,天使族,効果,3000,3000,
5925,Ulevo,Ulevo,10,地,鳥獣族,効果,3000,2500,
9978,アイアイアン,アイアイアン,4,地,機械族,効果,1600,1800,
21580,WINDS OF VICTORY,WINDS OF VICTORY,,,魔法,,,,
10008,アイアンコール,アイアンコール,,,魔法,,,,
13827,アイアンドロー,アイアンドロー,,,魔法,,,,
4130,アイアン・ハート,アイアン・ハート,5,闇,機械族,通常,1700,1400,
14860,Ai打ち,アイうち,,,魔法,,,,
7872,アイヴィ・ウォール,アイヴィ・ウォール,2,地,植物族,リバース／効果,300,1200,
8065,アイヴィ・シャックル,アイヴィ・シャックル,,,罠,,,,
20608,藍眼の銀龍,あいがんのぎんりゅう,8,光,ドラゴン族,エクシーズ／効果,4000,0,
15059,Ai－Q,アイ－キュー,,,罠,,,,
14878,Aiシャドー,アイシャドー,,,罠,,,,
15042,Ai－コンタクト,アイ－コンタクト,,,魔法,,,,
8873,アイス・ドール,アイス・ドール,2,水,魔法使い族,効果,800,1000,
8889,アイス・ドール・ミラー,アイス・ドール・ミラー,,,魔法,,,,
6861,氷騎士,アイスナイト,4,水,水族,効果,1300,1200,
16436,Ai－SHOW,アイ－ショウ,,,罠,,,,
11191,アイス・ハンド,アイス・ハンド,4,水,水族,効果,1400,1600,
9797,アイスバーン,アイスバーン,,,罠,,,,
7025,アイス・ブリザード・マスター,アイス・ブリザード・マスター,8,水,魔法使い族,効果,2500,2000,
